BINCODE	NAME
1.1.1.2.2.2.2	Photosynthesis.photophosphorylation.photosystem II.PS-II complex.oxygen-evolving center (OEC) extrinsic proteins.Viridiplantae-specific components.OEC16 component PsbQ
1.1.8.1.5.1	Photosynthesis.photophosphorylation.chlororespiration.NADH dehydrogenase-like (NDH) complex.electron donor-binding subcomplex E.NdhS component
3.1.4.4	Carbohydrate metabolism.sucrose metabolism.degradation.fructose kinase
5.1.3.2.1.2	Lipid metabolism.fatty acid synthesis.acetyl-CoA generation.plastidial pyruvate dehydrogenase complex.E1 pyruvate dehydrogenase component.beta subunit
5.7.3.6.1	Lipid metabolism.lipid degradation.fatty acid degradation.glyoxylate cycle.peroxisomal citrate synthase
6.1.2.1	Nucleotide metabolism.purines.catabolism.5'-nucleotidase
6.1.4.3	Nucleotide metabolism.purines.salvage pathway.adenosine kinase
7.11.3.1.1	Coenzyme metabolism.iron-sulfur cluster assembly machineries.cytosolic CIA system.assembly phase.DRE2 component
9.2.3.1	Secondary metabolism.phenolics.regulation of key enzymes.KFB-PAL proteolytic phenylalanine ammonia-lyase regulator
11.2.2.2	Phytohormones.auxin.perception and signal transduction.TPL-type transcriptional repressor
11.2.3.3	Phytohormones.auxin.conjugation and degradation.indole-3-acetic acid dioxygenase
11.3.1.4	Phytohormones.brassinosteroid.synthesis.3-epi-6-deoxocathasterone 23-monooxygenase
11.5.1.3	Phytohormones.ethylene.synthesis.ETO-type regulator protein
13.5.2.1.1	Cell cycle.organelle machineries.organelle fission.mitochondrion and peroxisome division.DRP3 dynamin-like protein
15.3.2.3.6	RNA biosynthesis.RNA polymerase II-dependent transcription.pre-initiation complex.TFIId basal transcription regulation complex.TAF6 component
15.3.5.14	RNA biosynthesis.RNA polymerase II-dependent transcription.SAGA transcription co-activator complex.TAF6 component
15.7.3.1	RNA biosynthesis.transcriptional activation.HB (Homeobox) superfamily.HD-ZIP I/II transcription factor
15.8.1	RNA biosynthesis.transcriptional repression.TPL/TPR transcriptional co-repressor
16.4.1.1.3	RNA processing.RNA splicing.U2-type-intron-specific major spliceosome.U1 small nuclear ribonucleoprotein particle (snRNP).U1C snRNP component
17.1.1.2.1.3	Protein biosynthesis.cytosolic ribosome.large subunit (LSU).LSU processome component.PES-BOP1-WDR12 (PeBoW) complex.WDR12 component
17.2.6	Protein biosynthesis.aminoacyl-tRNA synthetase activities.glutamine-tRNA ligase
17.2.16.1	Protein biosynthesis.aminoacyl-tRNA synthetase activities.phenylalanine-tRNA ligase complex.alpha subunit
18.8.1.2	Protein modification.phosphorylation.TKL kinase superfamily.LRR-II kinase
18.13.5.2	Protein modification.protein folding and quality control.protein folding catalyst activities.FKBP protein folding catalyst
23.5.1.5	Protein translocation.nucleus.nucleocytoplasmic transport.Ran-GAP GTPase activating component
24.2.7.1.2	Solute transport.carrier-mediated transport.IT superfamily.DASS family.dicarboxylate:malate antiporter (DIT-type)
24.2.10.1	Solute transport.carrier-mediated transport.OPT family.iron chelator transporter (YSL-type)
25.1.4.1	Nutrient uptake.nitrogen assimilation.nitrate assimilation.nitrate reductase
26.1.1.1	External stimuli response.light.red/far red light.PHY phytochrome photoreceptor
26.3.1.2	External stimuli response.temperature.temperature sensors.PHY-B temperature sensor protein
26.6.2.2.1.1	External stimuli response.biotic stress.pathogen effector.ETI (effector-triggered immunity) network.RIN4-RPM1 immune signalling.RIN4 RPM1-interacting factor
