Family	anno.acc	anno.desc	rel.freq
OG0000062	PF00646.33	F-box domain	0.828125
OG0000118	PF10551.9	MULE transposase domain	0.36
OG0001707	PF00646.33	F-box domain	0.733333333333333
OG0005862	PF08302.11	Fungal tRNA ligase phosphodiesterase domain	0.666666666666667
OG0000425	PF03453.17	MoeA N-terminal region (domain I and II)	0.0384615384615385
OG0002216	PF04144.13	SCAMP family	1
OG0002216	PF12072.8	Domain of unknown function (DUF3552)	1
OG0000068	PF18356.1	Domain of unknown function (DUF5608)	0.403225806451613
OG0000086	PF08284.11	Retroviral aspartyl protease	0.603448275862069
OG0001677	PF12931.7	Sec23-binding domain of Sec16	1
OG0001677	PF12932.7	Vesicle coat trafficking protein Sec16 mid-region	1
OG0005376	PF03087.14	Arabidopsis protein of unknown function	1
OG0001503	PF12937.7	F-box-like	0.4
OG0001574	PF17921.1	Integrase zinc binding domain	0.6
OG0002552	PF01182.20	Glucosamine-6-phosphate isomerases/6-phosphogluconolactonase	1
OG0001404	PF00450.22	Serine carboxypeptidase	1
OG0004419	PF03791.13	KNOX2 domain	1
OG0003446	PF05096.12	Glutamine cyclotransferase	1
OG0000510	PF14244.6	gag-polypeptide of LTR copia-type	0.875
OG0002483	PF00856.28	SET domain	1
OG0002483	PF02182.17	SAD/SRA domain	1
OG0002483	PF05033.16	Pre-SET motif	1
OG0000787	PF00156.27	Phosphoribosyl transferase domain	1
OG0000787	PF13793.6	N-terminal domain of ribose phosphate pyrophosphokinase	1
OG0000787	PF14572.6	Phosphoribosyl synthetase-associated domain	1
OG0000787	PF14681.6	Uracil phosphoribosyltransferase	1
OG0005895	PF05368.13	NmrA-like family	1
OG0005895	PF13460.6	NAD(P)H-binding	1
OG0004703	PF03478.18	Protein of unknown function (DUF295)	0.7
OG0004703	PF04147.12	Nop14-like family	0.7
OG0004703	PF04931.13	DNA polymerase phi	0.7
OG0000546	PF00854.21	POT family	1
OG0000985	PF00400.32	WD domain, G-beta repeat	1
OG0000985	PF04053.14	Coatomer WD associated region	1
OG0000985	PF11715.8	Nucleoporin Nup120/160	1
OG0000985	PF12894.7	Anaphase-promoting complex subunit 4 WD40 domain	1
OG0004339	PF00169.29	PH domain	0.9
OG0004339	PF01412.18	Putative GTPase activating protein for Arf	0.9
OG0000006	PF03478.18	Protein of unknown function (DUF295)	0.87037037037037
OG0000735	PF07916.11	TraG-like protein, N-terminal region	0.1
OG0002076	PF06524.12	NOA36 protein	0.0714285714285714
OG0002076	PF06623.11	MHC_I C-terminus	0.0714285714285714
OG0002076	PF15591.6	Immunity protein 31	0.0714285714285714
OG0001460	PF00665.26	Integrase core domain	0.5
OG0000372	PF03181.15	BURP domain	1
OG0000378	PF00931.22	NB-ARC domain	1
OG0001157	PF00787.24	PX domain	0.941176470588235
OG0003552	PF02458.15	Transferase family	1
OG0000497	PF00854.21	POT family	1
OG0000503	PF00583.25	Acetyltransferase (GNAT) family	1
OG0001656	PF14215.6	bHLH-MYC and R2R3-MYB transcription factors N-terminal	0.866666666666667
OG0000144	PF14223.6	gag-polypeptide of LTR copia-type	0.886363636363636
OG0002670	PF00571.28	CBS domain	1
OG0002670	PF00654.20	Voltage gated chloride channel	1
OG0000133	PF00005.27	ABC transporter	1
OG0000133	PF01061.24	ABC-2 type transporter	1
OG0000133	PF02463.19	RecF/RecN/SMC N terminal domain	1
OG0000133	PF03193.16	RsgA GTPase	1
OG0000133	PF08370.11	Plant PDR ABC transporter associated	1
OG0000133	PF13304.6	AAA domain, putative AbiEii toxin, Type IV TA system	1
OG0000133	PF13555.6	P-loop containing region of AAA domain	1
OG0003168	PF00106.25	short chain dehydrogenase	1
OG0003168	PF13561.6	Enoyl-(Acyl carrier protein) reductase	1
OG0003168	PF16363.5	GDP-mannose 4,6 dehydratase	1
OG0000034	PF00560.33	Leucine Rich Repeat	1
OG0000034	PF12799.7	Leucine Rich repeats (2 copies)	1
OG0000034	PF13855.6	Leucine rich repeat	1
OG0000509	PF08284.11	Retroviral aspartyl protease	0.583333333333333
OG0000509	PF17919.1	RNase H-like domain found in reverse transcriptase	0.583333333333333
OG0002579	PF04727.13	ELMO/CED-12 family	1
OG0003388	PF00069.25	Protein kinase domain	1
OG0003388	PF00560.33	Leucine Rich Repeat	1
OG0003388	PF07714.17	Protein tyrosine kinase	1
